,Class,Order,Family,Genus,count_in_fasta,missing_in_fasta
0,Chromadorea,Araeolaimida,Axonolaimidae,Odontophora,17,False
1,Chromadorea,Araeolaimida,Comesomatidae,Comesomoides,0,True
2,Chromadorea,Chromadorida,Chromadoridae,Chromadorella,8,False
3,Chromadorea,Chromadorida,Chromadoridae,Chromadorita,101,False
4,Chromadorea,Chromadorida,Chromadoridae,Endeolophos,2,False
5,Chromadorea,Chromadorida,Chromadoridae,Innocuonema,6,False
6,Chromadorea,Chromadorida,Chromadoridae,Neochromadora,29,False
7,Chromadorea,Chromadorida,Chromadoridae,Spilophorella,10,False
8,Chromadorea,Chromadorida,Chromadoridae,Karkinochromadora,0,True
9,Chromadorea,Chromadorida,Cyatholaimidae,Marylynnia,11,False
10,Chromadorea,Desmodorida,Desmodoridae,Chromaspirina,11,False
11,Chromadorea,Desmodorida,Desmodoridae,Desmodora,40,False
12,Chromadorea,Desmodorida,Desmodoridae,Metachromadora,29,False
13,Chromadorea,Desmodorida,Desmodoridae,Molgolaimus,5,False
14,Chromadorea,Desmodorida,Desmodoridae,Paradesmodora,12,False
15,Chromadorea,Desmodorida,Desmodoridae,Perspiria,1,False
16,Chromadorea,Desmodorida,Draconematidae,Apenodraconema,0,True
17,Chromadorea,Desmodorida,Draconematidae,Dracograllus,6,False
18,Chromadorea,Desmodorida,Epsilonematidae,Akanthepsilonema,0,True
19,Chromadorea,Desmodorida,Epsilonematidae,Epsilonema,3,False
20,Chromadorea,Desmodorida,Epsilonematidae,Glochinema,0,True
21,Chromadorea,Desmodorida,Epsilonematidae,Metaglochinema,0,True
22,Chromadorea,Desmodorida,Epsilonematidae,Metepsilonema,0,True
23,Chromadorea,Desmodorida,Epsilonematidae,Perepsilonema,7,False
24,Chromadorea,Desmodorida,Richtersiidae,Richtersia,9,False
25,Chromadorea,Desmodorida,Desmodoridae,Pseudochromadora,22,False
26,Chromadorea,Desmodorida,Desmodoridae,Spirinia,26,False
27,Chromadorea,Desmoscolecida,Desmoscolecidae,Desmoscolex,20,False
28,Chromadorea,Desmoscolecida,Desmoscolecidae,Greeffiella,2,False
29,Chromadorea,Desmoscolecida,Desmoscolecidae,Tricoma,7,False
30,Chromadorea,Monhysterida,Linhomoeidae,Disconema,0,True
31,Chromadorea,Monhysterida,Linhomoeidae,Linhomoeus,11,False
32,Chromadorea,Monhysterida,Linhomoeidae,Metalinhomoeus,14,False
33,Chromadorea,Monhysterida,Monhysteridae,Halomonhystera,294,False
34,Chromadorea,Monhysterida,Sphaerolaimidae,Doliolaimus,0,True
35,Chromadorea,Monhysterida,Xyalidae,Amphimonhystrella,1,False
36,Chromadorea,Monhysterida,Xyalidae,Cobbia,2,False
37,Chromadorea,Monhysterida,Xyalidae,Daptonema,123,False
38,Chromadorea,Monhysterida,Xyalidae,Elzalia,1,False
39,Chromadorea,Monhysterida,Xyalidae,Linhystera,1,False
40,Chromadorea,Monhysterida,Xyalidae,Manganonema,1,False
41,Chromadorea,Monhysterida,Xyalidae,Metadesmolaimus,9,False
42,Chromadorea,Monhysterida,Xyalidae,Omicronema,3,False
43,Chromadorea,Monhysterida,Xyalidae,Paramonohystera,8,False
44,Chromadorea,Monhysterida,Linhomoeidae,Terschellingia,194,False
